"","Q","text","tokens","uncivil_dictionary","n_raters","n_uncivil","uncivil_perceptions","uncivil_coded"
"11","Q108","你祖宗係支那人，你都係支那人，唔好話內地人，都唔諗下自己係乜種。","你 祖宗 係 支那人 你 都係 支那人 唔好話 內地人 都 唔諗下 自己 係 乜 種",1,12,4,0.333333333333333,1
"12","Q109","點會窮人含忍年初一事件d 劣屍飛身幫人佢應該駡d劣屍唔飛身幫佢至啱喎","點會 窮人 含 忍 年初一 事件 劣屍 飛身 幫人 佢 應該 駡 劣屍 唔 飛身 幫佢 至 啱喎",1,16,8,0.5,1
"13","Q11","一日未獨立都無同港共及黑警和解既空間,齊上齊落!自己推1001","一日 未 獨立 都 無 同 港共 及 黑警 和解 既 空間 齊 上 齊 落 自己 推",1,17,4,0.235294117647059,1
"14","Q110","犯民廢青反到乜嘢都司法覆核（冇錢又要申請法援，然後又袋錢入公文袋班pk）拖幾年建築成本又加大咗，就屌政府浪費金錢、大白象????班廢柴七頭交過稅未","犯民 廢青 反到 乜嘢 都 司法覆核 冇錢 又 要申請 法援 然後 又 袋錢 入 公文袋 班 拖 幾年 建築 成本 又 加 大咗 就 屌 政府 浪費 金錢 大白象 班 廢柴 七頭 交過稅未",1,22,11,0.5,1
"15","Q111","雖然我都知會有契弟挑機，但估唔到你咁弱雞囉。。。係【雖遠必誅】呀，好心讀好啲書先回吠啦，係要走出嚟畀人恥笑，契弟。。。:","雖然 我 都知 會有 契弟 挑機 但 估 唔到你 咁弱雞 囉 係 雖 遠 必誅 呀 好心 讀 好啲 書 先 回 吠 啦 係 要走 出嚟 畀人 恥笑 契弟",1,19,12,0.631578947368421,1
"16","Q112","其實fb 買賣的人真係好多係咁，好多買賣group都有呢d PK，但d人又好q鍾意fb賣野","其實 買 賣的 人 真係 好多 係咁 好多 買賣 都有 呢 但 人 又 好 鍾意 賣野",0,15,6,0.4,1
"17","Q113","死得好！我講既，我逢台必反，你吹咩:達叔陪住我地大，都俾你班垃圾插，果幾條爛命算得係咩？","死得好 我 講既 我 逢 台 必反 你吹咩 達叔 陪 住 我地 大 都 俾 你班 垃圾 插 果 幾條 爛命 算得 係咩",0,16,12,0.75,0
"18","Q114","一年扔一部定十年扔一部多垃圾呀唔撚識計數呀我冇講過唔扔我一直都講用到點解要扔舊唔等於唔用得用到壞先扔冇問題電視尼d電子污染好嚴重咖你當係你d屎屎尿尿咁易處理?","一年 扔 一 部 定 十 年 扔 一 部 多 垃圾 呀 唔撚 識 計數 呀 我 冇 講過 唔 扔 我 一直 都講 用到 點解 要 扔 舊 唔等於 唔用得 用到 壞 先 扔 冇問題 電視 尼 電子 污染 好嚴重 咖 你 當係 你 屎 屎尿 尿 咁易 處理",1,21,11,0.523809523809524,1
"19","Q115","算啦兒登仔冇腦分析，風向邊面吹就推，由鳩佢哋和理非啦，勇武自然會做嘢㗎啦。btw拉乜撚嘢？拉你老母咩？都唔知邊個作出嚟，個個又跟哂風","算啦 兒 登 仔 冇腦 分析 風向 邊面 吹 就 推 由 鳩 佢哋 和 理非 啦 勇武 自然 會 做嘢 <U+35CE> 啦 拉 乜撚嘢 拉 你 老母 咩 都 唔知 邊個 作 出嚟 個個 又 跟 哂 風",1,13,8,0.615384615384615,1
"20","Q116","話說黃狗、長毛三人，去左邊?做咩唔出席?想第日可以用今次既事，去反泛民?:","話說 黃狗 長毛 三 人 去左邊 做咩 唔出席 想 第日 可以 用 今次 既事 去 反泛民",1,23,9,0.391304347826087,1
"21","Q117","講真，讚成又或者反對！呢班廢青都一定會去圍！所以，我就樂觀其成等佢地去圍，睇下會有乜後果！唔通佢地要死，我又要阻止佢地呀！唔送佢地一程咪好好人啦 ！:","講真 讚成 又 或者 反對 呢 班廢青 都 一定 會 去 圍 所以 我 就 樂觀其成 等佢地 去 圍 睇下 會 有乜 後果 唔通 佢地 要死 我 又要 阻止 佢地 呀 唔送 佢地 一程 咪 好好人 啦",1,17,9,0.529411764705882,1
"22","Q118","黑警毅進狗，今日出去打到隻狗叫晒救命流晒血，我開緊香檳回味緊，下一個到你","黑警 毅進 狗 今日 出去 打到 隻 狗叫 晒 救命 流 晒 血 我 開緊 香檳 回味緊 下一個 到 你",1,17,8,0.470588235294118,1
"23","Q119","睇到呢度已經完。同D智障阿嬸講「我一個女人仔乜都唔識但係都識得分析嫁」一撚樣低級既人講低級既野希望人同情佢低B","睇到 呢度 已經 完 同 智障 阿嬸 講 我 一個 女 人仔 乜都 唔識 但 係都 識得 分析 嫁 一撚樣 低級 既 人 講 低級 既野 希 望人 同情 佢 低",1,19,13,0.684210526315789,1
"24","Q12","如果係黃轉藍，係好事，如果扮藍去黑化藍就令人反感，所以我見到藍絲做的出位野，我會特登閙暴徒曱甴卜街，扮得藍既都係深黃，佢哋會唔鍾意人哋閙暴徒。","如果 係 黃 轉 藍 係 好事 如果 扮 藍 去 黑化 藍 就 令人 反感 所以 我 見到 藍絲 做的 出位 野 我 會 特登 閙 暴徒 曱甴 卜街 扮 得 藍 既 都係 深黃 佢哋 會 唔鍾意 人哋 閙 暴徒",1,17,9,0.529411764705882,1
"25","Q120","大陸人真係好撚蠢好on9 叫人登記選民都港獨只可以講洗腦工作真係好得好好","大陸人 真係 好撚 蠢 好on9 叫人 登記 選民 都 港獨 只 可以 講 洗腦 工作 真 係好得 好好",1,18,8,0.444444444444444,1
"26","Q121","只要對（主人翁）這三個字有一個明確定義，大家便明白（他們）不可能是主人翁，他們只會是沒貢獻的持份者。未來，不需要靠沒貢獻的人，今天，不需網開一面。","只 要對 主人翁 這 三 個 字 有 一個 明確 定義 大家 便明白 他們 不可能 是 主人翁 他們 只會 是 沒 貢獻 的 持份者 未來 不需 要靠 沒 貢獻 的 人 今天 不需 網開一面",0,20,11,0.55,0
"27","Q122","有睇到 立場應該有望到全部人突然起身同講拜拜成個live都係哈哈笑 好多人讚 完全感受到大家恥笑警犬種感覺呢幾日第一次真誠笑出聲","有 睇到 立場 應該 有 望到 全部人 突然 起身 同 講拜拜 成個 都係 哈哈 笑 好多人 讚 完全 感受到 大家 恥笑 警犬 種 感覺 呢 幾日 第一次 真誠 笑出聲",1,14,5,0.357142857142857,1
"28","Q123","當佢講既係真，都係想緩和香港戰線，想避大規模制裁五大訴求？咩黎架","當佢 講既 係真 都係 想 緩和 香港 戰線 想 避 大規模 制裁 五大訴求 咩黎架",0,17,6,0.352941176470588,0
"29","Q124","特首，你想點能樣架？洗吾冼等佢地起埋圍牆，你真係冇能用到無以復加，仲話你係狼，狼個屁","特首 你 想點 能樣 架 洗 吾 冼 等佢地 起 埋 圍牆 你 真係 冇 能 用到 無以復加 仲話 你 係 狼 狼 個 屁",1,16,10,0.625,1
"30","Q125","支持777下台 葉太上:lol孽瘤俾肥平老細葉簡明ｄ黒金浸過架～","支持 下台 葉太 上 孽瘤 俾 肥平 老細 葉 簡 明 黒金 浸過 架",1,15,7,0.466666666666667,1
"31","Q126","甘亂講影響人當然法庭見啦 ....  點小學雞? 小學雞會出律師信嗎?小學雞只會亂吹.....","甘 亂講 影響 人 當然 法庭 見 啦 點 小學雞 小學 雞會 出 律師信 嗎 小學雞 只會 亂吹",1,17,8,0.470588235294118,1
"32","Q127","本港全世界的電話都能打入，如果大陸咁低智都可騙到錢，說明香港部份人蠢過豬，抵死。:","本港 全世界 的 電話 都能 打入 如果 大陸 咁 低智 都可 騙 到 錢 說明 香港 部份人 蠢過豬 抵死",0,16,8,0.5,1
"33","Q128","一日未獨立都無同港共及黑警和解既空間,齊上齊落!自己推1001","一日 未 獨立 都 無 同 港共 及 黑警 和解 既 空間 齊 上 齊 落 自己 推",1,14,5,0.357142857142857,1
"34","Q129","今日保皇藍屍FB newsfeed 係主打呢個反而柒謷就小提。係有一張黑衫人打柒警頭仲有鼻血。水印am730. 唔知真定假","今日 保皇 藍屍 係 主打 呢個 反而 柒 謷 就 小 提 係有 一張 黑衫 人 打 柒警 頭 仲有 鼻血 水印 唔知 真 定 假",1,26,15,0.576923076923077,1
"35","Q13","唔理個孫係佢自己老豆老母 關我咩事 我點冷血? 我由頭到尾都冇提起個BB 你話人冷血話得多 搞到自己走火入魔","唔理 個 孫 係 佢 自己 老豆老母 關我咩事 我 點 冷血 我 由頭到尾 都 冇提 起個 你 話人 冷血 話 得多 搞到 自己 走火入魔",0,18,8,0.444444444444444,0
"36","Q130","我藍 快報狗 仲有大波華幫手作野加控on9罪Btw屌你老母香港政府","我 藍 快報 狗 仲有 大波 華 幫手 作野 加控 罪 屌你老母 香港政府",1,15,11,0.733333333333333,1
"37","Q131","明明港鐵係公共服務，點解唔正面表態，而去坐巴士？港豬們想逃避到幾時？？？","明明 港鐵 係 公共服務 點解 唔 正面 表態 而去 坐巴士 港豬 們 想 逃避 到 幾時 分享 自 討論區",1,20,7,0.35,1
"38","Q132","雖然民主黨都肯改變立場撚中共, 但係手段黎講點都係TRUMP嬴, 要撚流氓梗係要跣佢鑊甘, 點會開口講晒出黎","雖然 民主黨 都肯 改變 立場 撚 中共 但係 手段 黎 講點 都係 嬴 要 撚 流氓 梗係要 跣 佢 鑊 甘 點 會開 口講 晒出黎",1,13,3,0.230769230769231,1
"39","Q133","好多都仲係學生返少一日工好過失去40幾位年輕人我求下你地我係其中被告既朋友佢哋真係需要大家幫手","好多 都 仲係 學生 返 少 一日 工 好過 失去 幾位 年輕人 我 求下 你地 我 係 其中 被告 既 朋友 佢哋 真係 需要 大家 幫手",0,17,5,0.294117647058824,0
"40","Q134","收埋唔報，你點知佢地有冇用私人用途？我話佢地嘅日常開支就系用呢D黑錢。仲有D垃圾2元收左唔認添，光明正大咁收，做咩咁驚比人知？","收埋 唔報 你 點知 佢 地有 冇用 私人 用途 我 話 佢地 嘅 日常 開支 就系 用 呢 黑錢 仲有 垃圾 元 收左 唔認 添 光明正大 咁 收 做咩 咁驚 比人 知",0,15,5,0.333333333333333,1
"41","Q135","佢地好彩前幾日天氣無今日咁如果係今日咁天氣香港食晒個強颱風下沉氣壓我諗班黑警會好多輕則中暑，重則中風","佢地 好彩 前 幾日 天氣 無 今日 咁 如果 係 今日 咁 天氣 香港 食晒 個 強颱風 下沉 氣壓 我諗 班 黑警 會 好多 輕則 中暑 重 則 中風",1,19,10,0.526315789473684,1
"42","Q136","平時都有三四成人會走堂，而家反而得200罷課，係唔係有同學本來走堂都特登上課以免被d seven heads 計落罷課人數呢？","平時 都有 三 四 成人 會 走堂 而家 反 而得 罷課 係唔係 有 同學 本來 走堂 都 特登 上課 以免 被 計落 罷課 人數 呢",1,16,7,0.4375,1
"43","Q137","偉大人物要講堅持架, 你好心勸佢,佢一樣會話你冇腦同依附無恥權貴.","偉 大人物 要 講 堅持 架 你 好心 勸 佢 佢 一樣 會話 你 冇腦 同 依附 無恥 權貴",1,20,7,0.35,1
"44","Q138","除左自嘆自憐 你又做左乜實事呀呀 仲有就係做護主犬 就算張相ON9 你都一定只可以話政府ON9因為政府ON9 先搞到張相ON9BTW 我離地唔通你又好貼地 你好貼地咁叫人生多隻手 開始有D明你係咩物種","除左 自嘆 自憐 你 又 做左 乜 實事 呀 呀 仲有 就係 做 護主 犬 就算 張相 你 都 一定 只 可以 話 政府 因為 政府 先 搞到 張相 我 離地 唔通 你 又 好貼地 你 好貼地 咁 叫 人生 多 隻手 開始 有 明 你 係咩 物種",1,19,12,0.631578947368421,1
"45","Q139","屌你唔係無八達通？？我教緊你用八達通啊傻仔，無啦啦話我無錢搭車，有乜撚關係啊傻仔，我屌你我就係班示威者咩？？你係埋食左屎啊傻嗨嗨","屌你 唔係 無 八達通 我 教 緊 你 用 八達通 啊 傻仔 無啦啦 話我 無錢 搭車 有乜撚 關 係啊 傻仔 我屌你 我 就係 班 示威者 咩 你 係 埋 食左屎 啊 傻 嗨 嗨",1,14,7,0.5,1
"46","Q14","所以依家去台灣要你掉160萬開舖請人囉呢樣同150係完全唔同嘅野","所以 依家 去 台灣 要 你 掉 萬 開舖 請人 囉 呢樣 同 係 完全 唔同 嘅 野",0,15,3,0.2,0
"47","Q140","因為要毀屍唔容易至少黑警自己唔會有咁嘅知識搵人幫手的話 件事越涉及得多人就越容易比人爆大鑊所以可能扮自殺係唯一佢地諗到的方法至於法醫會唔會被收買就好難講佢點知呢個人係咪可信 唔會爆大鑊？","因為 要 毀 屍 唔容易 至少 黑警 自己 唔 會有 咁嘅 知 識搵人 幫手 的話 件 事越 涉及 得 多人 就 越 容易 比人 爆大鑊 所以 可能 扮 自殺 係 唯一 佢地 諗到的 方法 至於 法醫 會 唔 會被 收買 就 好難講 佢 點知 呢 個人 係咪 可信 唔會 爆大鑊",1,18,4,0.222222222222222,1
"48","Q141","中聯辦係亂港源頭，又癲倒黑白是非譚廢??，老狗奴，返家準備壽終正寢啦！","中聯辦 係 亂港 源頭 又 癲倒 黑白 是非 譚 廢 老 狗奴 返家 準備 壽終正寢 啦",1,18,11,0.611111111111111,1
"49","Q142","做之前唔諗下，係要俾d教訓呢d仆街仔，坐完之後會知道香港係法治社會，唔係你d黃色暴徒以為玩完之後可以拍下羅柚走人","做 之前 唔諗下 係 要俾 教訓 呢 仆街 仔 坐完 之後 會 知道 香港 係 法治 社會 唔係 你 黃色 暴徒 以為 玩完 之後 可以 拍下 羅柚 走人",1,22,11,0.5,1
"50","Q143","ageer呢個時候出嚟煲大佢唔通侵侵發現俾維尼撚到決定要同佢死過？定係 warren 想一次過打沉中共侵侵拜登","呢個 時候 出嚟 煲大佢 唔通 侵侵 發現 俾 維尼 撚 到 決定 要 同佢 死過 定係 想 一次過 打沉 中共 侵侵 拜 登",1,18,7,0.388888888888889,1
"51","Q144","估唔到今日大英帝國首相甘撚無用,要學毛澤東的紅衛兵周圍扣人帽子:","估唔到 今日 大英帝國 首相 甘撚 無用 要學 毛澤東 的 紅衛兵 周圍 扣 人 帽子",1,18,9,0.5,1
"52","Q145","點解次次都比人影到 私鳥唔係應該拉入暗角打咩 至少都要整個人牆擋下鏡頭同埋打到流哂血都冇事 不如打頸打心口打腰椎打春袋打關節","點解 次次 都 比人 影到 私 鳥 唔係 應該 拉入 暗 角 打 咩 至少 都要 整個 人牆 擋 下 鏡頭 同埋 打到 流 哂 血 都 冇事 不如 打 頸 打 心口 打 腰椎 打 春袋 打 關節",1,10,2,0.2,0
"53","Q146","咩呀  我覺得你地唔尊重女性囉女權撚最嘔心係又要拎盡著數   仲要侵占埋道德高地     雞都不如","咩呀 我 覺得 你地 唔尊重 女性 囉 女權 撚 最 嘔心 係 又要 拎 盡 著數 仲要 侵占 埋 道德 高地 雞 都 不如",1,17,8,0.470588235294118,1
"54","Q147","香港妓者從來避重就輕, 只挖民建聯D衰野和政府既, 但民主狗, 飯民, 公狗, 吾可能會爆出黎既, 死肥婆玲只會識鬧政者","香港 妓者 從來 避重就輕 只 挖 民建聯 衰野 和 政府 既 但 民主 狗 飯民 公 狗 吾 可能 會 爆 出黎 既 死肥婆 玲 只 會識 鬧 政 者",1,18,13,0.722222222222222,1
"55","Q148","TKo   好多後生 一定有睇連登  唔撚係出手  就走  俾左膠帶住 去防暴到  嘩 係咪痴撚線架你地","好多 後生 一定 有睇 連登 唔 撚係 出手 就 走 俾 左膠 帶住 去 防暴 到 嘩 係咪 痴撚線 架 你地",1,13,4,0.307692307692308,1
"56","Q149","我覆多兩覆都冇心機了，見條友都係9唔搭7......之後仲打句歌詞，係得果條撚頭先會扮高人，打歌詞代心聲.......你記唔記得以前佢好鐘意打","我 覆 多 兩 覆 都 冇心機 了 見 條友 都係 唔搭 之後 仲 打 句 歌詞 係 得 果條 撚 頭 先會 扮 高人 打 歌詞 代 心聲 你 記 唔記得 以前 佢 好鐘意 打",1,14,8,0.571428571428571,1
"57","Q15","一陣救翻之後 一定要搵議員律師記者 同佢講清楚係唔係有狗逼佢跳樓 如果係嘅話之前嗰啲自殺都好大機會係咁","一陣 救 翻 之後 一定 要搵 議員 律師 記者 同 佢講 清楚 係唔係 有 狗 逼 佢 跳樓 如果 係 嘅 話 之前 嗰啲 自殺 都 好大機 會係咁",0,14,5,0.357142857142857,1
"58","Q150","歌咩撚野 以為人地識四面楚歌呢啲中文？同黑警圍大學播歌一樣咁on9","歌 咩撚野 以 為人地 識 四面楚歌 呢啲 中文 同 黑警 圍 大學 播 歌 一樣 咁",1,15,7,0.466666666666667,1
"59","Q151","我所識既大陸人個個住過千尺，一家幾口幾部私家車，人民水準點差都好過香港班洋奴。","我 所 識 既 大陸人 個個 住 過千 尺 一家 幾 口 幾 部 私家車 人民 水準 點 差 都 好過 香港 班 洋奴",1,19,8,0.421052631578947,1
"60","Q152","哈哈, 班廢青為左攪大件事, 吹到天花龍鳳. : 其實其他人睇落真係得啖笑.如果咁都告得成, 真係國際大笑話!","哈哈 班廢青 為左 攪大件事 吹到 天花龍鳳 其實 其他人 睇落 真係 得啖笑 如果 咁都 告得 成 真係 國際 大笑話",1,21,14,0.666666666666667,1
"61","Q153","今次共匪借葉國華下線既沈旭暉出呢篇文屌柒特區政府破壞外交部署呢穫多得林鄭班子同班毅進仔唔少, 唔知佢地會唔會遲D俾大陸捉上去犬決?","今次 共匪 借 葉國華 下線 既 沈旭暉 出 呢 篇文 屌柒 特區政府 破壞 外交 部署 呢 穫 多得 林鄭 班子 同班 毅進 仔 唔少 唔知 佢地 會 唔會 遲d 俾 大陸 捉 上去 犬決",1,18,9,0.5,1
"62","Q154","唔好咁講. 香港係住貴.其他野其實好平.衣 (tee 幾十蚊1件)食 (同其他大城市比出街食算好抵 大家樂, 大快活 茶記$4X -6X 唔好講自己煮)行(用廢老卡)","唔好 咁講 香港 係 住 貴 其他 野 其實 好平 衣 幾 十蚊 件 食 同 其他 大城市 比 出街食 算好抵 大家樂 大快活 茶記 唔 好講 自己煮 行 用 廢老 卡",1,18,3,0.166666666666667,1
"63","Q155","啲隻黃畜唔死都冇L用,男人老狗扮女人？泛聞屎派的菊花黨唔啱胃口的.","啲 隻 黃畜 唔 死 都冇 用 男人老狗 扮 女人 泛 聞屎 派 的 菊花 黨 唔啱 胃口 的",1,16,10,0.625,1
"64","Q156","呢樣真，呢d人喺外國見有d同胞英文講得好又埋local堆，就會葡萄人我見怪不怪，因為我都唔需要同呢d圈子打交道同local踢下波飲下酒吹水好過同d支那人燒錢","呢樣 真 呢 人 喺 外國 見 有 同胞 英文 講得好 又 埋 堆 就會 葡萄 人 我 見怪不怪 因為 我 都 唔需要 同 呢 圈子 打交道 同 踢 下 波 飲下 酒 吹水 好過 同 支那人 燒錢",1,17,3,0.176470588235294,1
"65","Q157","咩犯？ 你講咗先 下下話搶犯 我見到有人持槍挾持人質 同伴拯救不果 結果中槍五毛比多你","咩 犯 你 講咗 先 下 下話 搶 犯 我 見到 有人 持槍 挾持 人質 同伴 拯救 不果 結果 中槍 五毛 比多 你",1,14,6,0.428571428571429,1
"66","Q158","白癡到以為隻揪唔會畀人打死！幼稚到以為一定人哋畀你打到叫救命！不自量力，又要打人，又要凶人！潺仔，最叻緊係要保命啦！走得快！童話世界？未戒奶？","白癡 到 以為 隻揪 唔會 畀人 打死 幼稚 到 以為 一定 人哋 畀你 打到 叫 救命 不自量力 又要 打人 又要 凶 人 潺 仔 最叻 緊 係要 保命 啦 走得 快 童話 世界 未 戒奶",0,19,10,0.526315789473684,0
"67","Q159","大陸人好事不出門，壞事傳千里，最拿手下面呢幾樣。一賊二雞三強姦，四霸公屋五打尖。","大陸人 好事不出門 壞事 傳 千里 最 拿手 下面 呢 幾 樣 一 賊 二 雞 三 強姦 四 霸 公屋 五 打尖",0,16,10,0.625,0
"68","Q16","呢啲先係打架嘛。好似啲大國咁日撚日口交咩成班都濕鳩黎。明明可以用支那做test ground都唔撚出手，日日諗呢樣諗果樣。屌","呢啲 先係 打 架嘛 好似 啲 大國 咁 日 撚 日 口交 咩 成班 都 濕鳩 黎 明明 可以 用 支 那做 都 唔撚 出手 日日 諗 呢樣 諗 果樣 屌",1,19,10,0.526315789473684,1
"69","Q160","【印度大捷】中印之戰，印軍強勢壓迫，解放軍落荒而逃，撤軍收皮！","印度 大捷 中印 之 戰 印 軍 強勢 壓迫 解放軍 落荒而逃 撤軍 收皮",1,17,8,0.470588235294118,1
"70","Q161","訓咗兩晚依家cu係人手同物資過剩其他區個個想入 開花反而唔夠人","訓咗 兩 晚 依家 係 人手 同 物資 過剩 其 他區 個個 想 入 開花 反而 唔夠 人",0,19,3,0.157894736842105,0
"71","Q162","其實真嘅 好似8號波滑浪咁唔單只關乎你個人安全 仲有救你啲手足嘅風險","其實 真 嘅 好似 號 波 滑浪 咁 唔單只 關乎 你 個人 安全 仲有 救 你 啲 手足 嘅 風險",0,20,1,0.05,0
"72","Q163","欣賞呢班仁兄嘅付出，不過老實講佢地真係小學雞咗少少... 唔係好明國際社會嘅運作。割就唔會割，但我衷心希望佢地完咗呢個campaign 之後唔好再lead 其他活動...","欣賞 呢班 仁兄 嘅 付出 不過 老實講 佢地 真係 小學雞 咗 少少 唔係好明 國際 社會 嘅 運作 割 就 唔會 割 但 我 衷心 希望 佢地 完咗 呢個 之後 唔好 再 其他 活動",1,16,6,0.375,0
"73","Q164","共狗越來越明目張膽強迫港人熱愛共產黨:lol  什麼要效忠社會主義才叫愛國  共狗平快D叫D狗子孫放棄外國國籍死返大陸;P   共產黨同社會主義唔係港人自願選擇  死共狗:","共狗 越來越 明目張膽 強迫 港人 熱愛 共產黨 什麼 要 效忠 社會主義 才叫 愛國 共狗 平 快 叫 狗 子孫 放棄 外國 國籍 死 返大陸 共產黨 同 社會主義 唔係 港人 自願 選擇 死 共狗",1,16,4,0.25,1
"74","Q165","最短時間吸最多觀看留言正負評，所以一定要keep住推，對家五毛好多人架","最 短時間 吸 最多 觀看 留言 正 負評 所以 一定 要 推 對家 五毛 好多人 架",1,16,9,0.5625,1
"75","Q166","點止呀...相信所有中箭女會員入會前要被痴瘋教主用佢身上果支""驗孕棒""去証明仲係處女才可入會.....:","點止 呀 相信 所有 中箭 女 會員 入 會前 要被 痴瘋 教主 用 佢 身上 果 支 驗孕棒 去 証明 仲係 處女 才可 入會",1,10,6,0.6,1
"76","Q167","借架車比你自己上晒身，轉頭就報失保住自己，不如就咁偷一架好過。","借 架車 比你 自己 上晒 身 轉頭 就 報失 保住 自己 不如 就咁 偷 一 架 好過",0,16,4,0.25,0
"77","Q168","咁都唔係輸打嬴要?放出黎係班狗偷既 好放過放出黎班狗無偷既 繼續燒唔放出黎 又繼續燒咁你想點呀on9吹撚夠風向未定係你就係無腦打機打上腦當依家出去就係打機個d mk仔呀","咁都 唔係 輸打 嬴要 放 出黎 係 班 狗 偷 既 好 放過 放 出黎 班 狗 無 偷 既 繼續 燒 唔放 出黎 又 繼續 燒 咁 你 想 點呀 撚 夠 風向 未 定係 你 就係 無腦 打機 打 上腦 當 依家 出去 就係 打機 個 呀",1,20,14,0.7,1
"78","Q169","無錯，我地要諗方法connect白警大家唔好覺得無白警，只係邊圍都黑警加高層出唔到聲，諗下老豆搵仔係點黎就知Connect無打過人無殺過人無姦過人既白警","無錯 我地 要 諗 方法 白 警 大家 唔好 覺得 無 白 警 只 係邊 圍 都 黑警 加 高層 出唔到 聲 諗下 老豆 搵仔 係 點黎 就知 無 打 過人 無 殺 過人 無 姦 過人 既 白 警",1,15,4,0.266666666666667,1
"79","Q17","的確香港問題係積左落黎好多你可以話係港英政府留下來的SO周屎...但97後 一個貪曾就搞到香港走向不歸路了依家差左香港幾時無利用價值","的確 香港 問題 係 積 左 落黎 好多 你 可以 話係 港英政府 留下 來的 周 屎 但 一個 貪曾 就 搞到 香港 走向 不歸路 了 依家 差左 香港 幾時 無利用 價值",1,17,8,0.470588235294118,1
"80","Q170","正常既都會知自己唔會做一世總統，當然要任期內要做對自己有利既事:ph_12:生意人！識計數！點似毒果妓者智將？:ph_12::chcz_04:？","正常既 都 會知 自己 唔會做 一世 總統 當然 要 任期內 要做 對 自己 有利 既事 生意人 識 計數 點似 毒果 妓者 智將",1,16,7,0.4375,1
"81","Q171","其實大家見的59式坦克係清場完後的朝早先入城 晚上清場時應該得返步兵裝甲車 應該係屬機械步兵師","其實 大家 見 的 式 坦克 係 清場 完 後 的 朝 早先 入城 晚上 清場 時 應該 得返 步兵 裝甲車 應該係 屬 機械 步兵 師",0,18,3,0.166666666666667,0
"82","Q172","師兄講得好. 最近睇在 ""敘利亞戰爭：美國從不公開的中東地緣博奕與野心"" . 令我知道到尾國既醜惡險毒","師兄 講得好 最近 睇 在 敘利亞 戰爭 美國 從不 公開 的 中東 地 緣 博奕 與 野心 令我 知道 到 尾國 既 醜惡 險 毒",0,18,7,0.388888888888889,0
